Date : 2024-03-21 23:08:07
Directory : e:\vscode-workspace\me\employee-profiling
Total : 161 files,  1482 codes, 115 comments, 152 blanks, all 1749 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| ..\..\..\hc\外包\employee-Profiling\src\api                                                          |          2 |       -384 |        -82 |        -23 |       -489 |
| ..\..\..\hc\外包\employee-Profiling\src\assets                                                       |          2 |         -2 |          0 |          0 |         -2 |
| ..\..\..\hc\外包\employee-Profiling\src\assets\svg                                                   |          2 |         -2 |          0 |          0 |         -2 |
| ..\..\..\hc\外包\employee-Profiling\src\components                                                   |          5 |       -342 |        -29 |        -26 |       -397 |
| ..\..\..\hc\外包\employee-Profiling\src\components\employeeTagCard                                   |          1 |        -38 |          0 |         -3 |        -41 |
| ..\..\..\hc\外包\employee-Profiling\src\components\loading                                           |          1 |        -69 |          0 |         -4 |        -73 |
| ..\..\..\hc\外包\employee-Profiling\src\components\noResultYet                                       |          1 |        -32 |          0 |         -3 |        -35 |
| ..\..\..\hc\外包\employee-Profiling\src\components\svgIcon                                           |          1 |        -35 |          0 |         -3 |        -38 |
| ..\..\..\hc\外包\employee-Profiling\src\components\userInfos                                         |          1 |       -168 |        -29 |        -13 |       -210 |
| ..\..\..\hc\外包\employee-Profiling\src\declare                                                      |          1 |         -9 |          0 |         -2 |        -11 |
| ..\..\..\hc\外包\employee-Profiling\src\layouts                                                      |          4 |       -284 |         -7 |        -24 |       -315 |
| ..\..\..\hc\外包\employee-Profiling\src\layouts (Files)                                              |          1 |        -39 |         -1 |         -3 |        -43 |
| ..\..\..\hc\外包\employee-Profiling\src\layouts\components                                           |          3 |       -245 |         -6 |        -21 |       -272 |
| ..\..\..\hc\外包\employee-Profiling\src\router                                                       |          1 |       -407 |        -13 |        -13 |       -433 |
| ..\..\..\hc\外包\employee-Profiling\src\stores                                                       |         10 |     -1,183 |        -74 |        -94 |     -1,351 |
| ..\..\..\hc\外包\employee-Profiling\src\styles                                                       |          3 |       -278 |        -12 |        -57 |       -347 |
| ..\..\..\hc\外包\employee-Profiling\src\util                                                         |          2 |        -89 |         -2 |         -8 |        -99 |
| ..\..\..\hc\外包\employee-Profiling\src\views                                                        |         30 |     -6,403 |         -8 |       -347 |     -6,758 |
| ..\..\..\hc\外包\employee-Profiling\src\views\AccountManage                                          |          1 |       -193 |          0 |        -20 |       -213 |
| ..\..\..\hc\外包\employee-Profiling\src\views\Charts                                                 |          4 |       -445 |          0 |        -34 |       -479 |
| ..\..\..\hc\外包\employee-Profiling\src\views\Charts (Files)                                         |          1 |        -77 |          0 |         -4 |        -81 |
| ..\..\..\hc\外包\employee-Profiling\src\views\Charts\components                                      |          3 |       -368 |          0 |        -30 |       -398 |
| ..\..\..\hc\外包\employee-Profiling\src\views\EmployeePortrait                                       |          2 |       -564 |          0 |        -25 |       -589 |
| ..\..\..\hc\外包\employee-Profiling\src\views\EmployeePortrait (Files)                               |          1 |       -190 |          0 |        -13 |       -203 |
| ..\..\..\hc\外包\employee-Profiling\src\views\EmployeePortrait\components                            |          1 |       -374 |          0 |        -12 |       -386 |
| ..\..\..\hc\外包\employee-Profiling\src\views\ExamineApprove                                         |          1 |       -104 |          0 |         -8 |       -112 |
| ..\..\..\hc\外包\employee-Profiling\src\views\Information                                            |          3 |     -1,436 |         -2 |        -50 |     -1,488 |
| ..\..\..\hc\外包\employee-Profiling\src\views\Information (Files)                                    |          1 |        -33 |         -1 |         -3 |        -37 |
| ..\..\..\hc\外包\employee-Profiling\src\views\Information\components                                 |          2 |     -1,403 |         -1 |        -47 |     -1,451 |
| ..\..\..\hc\外包\employee-Profiling\src\views\Login                                                  |          1 |       -211 |         -1 |        -24 |       -236 |
| ..\..\..\hc\外包\employee-Profiling\src\views\Matching                                               |          3 |       -758 |         -1 |        -46 |       -805 |
| ..\..\..\hc\外包\employee-Profiling\src\views\Matching (Files)                                       |          1 |        -78 |         -1 |         -6 |        -85 |
| ..\..\..\hc\外包\employee-Profiling\src\views\Matching\components                                    |          2 |       -680 |          0 |        -40 |       -720 |
| ..\..\..\hc\外包\employee-Profiling\src\views\ModelModification                                      |          4 |     -1,147 |         -2 |        -35 |     -1,184 |
| ..\..\..\hc\外包\employee-Profiling\src\views\ModelModification (Files)                              |          1 |       -196 |          0 |         -6 |       -202 |
| ..\..\..\hc\外包\employee-Profiling\src\views\ModelModification\components                           |          3 |       -951 |         -2 |        -29 |       -982 |
| ..\..\..\hc\外包\employee-Profiling\src\views\NotAuth                                                |          1 |        -11 |          0 |         -3 |        -14 |
| ..\..\..\hc\外包\employee-Profiling\src\views\NotFound                                               |          1 |        -11 |          0 |         -3 |        -14 |
| ..\..\..\hc\外包\employee-Profiling\src\views\NotServer                                              |          1 |        -11 |          0 |         -3 |        -14 |
| ..\..\..\hc\外包\employee-Profiling\src\views\OverallPortrait                                        |          2 |       -297 |          0 |        -17 |       -314 |
| ..\..\..\hc\外包\employee-Profiling\src\views\OverallPortrait (Files)                                |          1 |       -120 |          0 |         -6 |       -126 |
| ..\..\..\hc\外包\employee-Profiling\src\views\OverallPortrait\components                             |          1 |       -177 |          0 |        -11 |       -188 |
| ..\..\..\hc\外包\employee-Profiling\src\views\Performance                                            |          3 |       -675 |         -1 |        -41 |       -717 |
| ..\..\..\hc\外包\employee-Profiling\src\views\Performance (Files)                                    |          1 |        -33 |         -1 |         -3 |        -37 |
| ..\..\..\hc\外包\employee-Profiling\src\views\Performance\components                                 |          2 |       -642 |          0 |        -38 |       -680 |
| ..\..\..\hc\外包\employee-Profiling\src\views\PositionPortrait                                       |          1 |       -157 |          0 |         -8 |       -165 |
| ..\..\..\hc\外包\employee-Profiling\src\views\Register                                               |          1 |       -175 |         -1 |        -15 |       -191 |
| ..\..\..\hc\外包\employee-Profiling\src\views\TagManage                                              |          1 |       -208 |          0 |        -15 |       -223 |
| .github                                                                                            |          3 |         44 |          0 |         14 |         58 |
| .github (Files)                                                                                    |          2 |         11 |          0 |          2 |         13 |
| .github\workflow                                                                                   |          1 |         33 |          0 |         12 |         45 |
| public                                                                                             |          1 |      2,214 |          0 |          1 |      2,215 |
| src                                                                                                |         65 |      9,520 |        331 |        619 |     10,470 |
| src (Files)                                                                                        |          2 |         47 |          0 |         12 |         59 |
| src\api                                                                                            |          2 |        393 |         85 |         23 |        501 |
| src\assets                                                                                         |          2 |          2 |          0 |          0 |          2 |
| src\assets\svg                                                                                     |          2 |          2 |          0 |          0 |          2 |
| src\components                                                                                     |          5 |        338 |         29 |         25 |        392 |
| src\components\employeeTagCard                                                                     |          1 |         38 |          0 |          3 |         41 |
| src\components\loading                                                                             |          1 |         69 |          0 |          4 |         73 |
| src\components\noResultYet                                                                         |          1 |         32 |          0 |          3 |         35 |
| src\components\svgIcon                                                                             |          1 |         35 |          0 |          3 |         38 |
| src\components\userInfos                                                                           |          1 |        164 |         29 |         12 |        205 |
| src\composables                                                                                    |          4 |         37 |          6 |          6 |         49 |
| src\layouts                                                                                        |          4 |        284 |          7 |         24 |        315 |
| src\layouts (Files)                                                                                |          1 |         39 |          1 |          3 |         43 |
| src\layouts\components                                                                             |          3 |        245 |          6 |         21 |        272 |
| src\router                                                                                         |          1 |        401 |         12 |         13 |        426 |
| src\stores                                                                                         |         10 |      1,207 |         74 |         98 |      1,379 |
| src\styles                                                                                         |          3 |        278 |         12 |         57 |        347 |
| src\utils                                                                                          |          2 |         89 |          2 |          8 |         99 |
| src\views                                                                                          |         30 |      6,444 |        104 |        353 |      6,901 |
| src\views\AccountManage                                                                            |          1 |        194 |          0 |         21 |        215 |
| src\views\Charts                                                                                   |          4 |        435 |          0 |         34 |        469 |
| src\views\Charts (Files)                                                                           |          1 |         74 |          0 |          5 |         79 |
| src\views\Charts\components                                                                        |          3 |        361 |          0 |         29 |        390 |
| src\views\EmployeePortrait                                                                         |          2 |        621 |         83 |         25 |        729 |
| src\views\EmployeePortrait (Files)                                                                 |          1 |        187 |          0 |         13 |        200 |
| src\views\EmployeePortrait\components                                                              |          1 |        434 |         83 |         12 |        529 |
| src\views\ExamineApprove                                                                           |          1 |        100 |          0 |         10 |        110 |
| src\views\Information                                                                              |          3 |      1,426 |          0 |         51 |      1,477 |
| src\views\Information (Files)                                                                      |          1 |         33 |          0 |          3 |         36 |
| src\views\Information\components                                                                   |          2 |      1,393 |          0 |         48 |      1,441 |
| src\views\Login                                                                                    |          1 |        171 |          0 |         23 |        194 |
| src\views\Matching                                                                                 |          3 |        828 |         20 |         48 |        896 |
| src\views\Matching (Files)                                                                         |          1 |         76 |          0 |          6 |         82 |
| src\views\Matching\components                                                                      |          2 |        752 |         20 |         42 |        814 |
| src\views\ModelModification                                                                        |          4 |      1,125 |          0 |         34 |      1,159 |
| src\views\ModelModification (Files)                                                                |          1 |        191 |          0 |          7 |        198 |
| src\views\ModelModification\components                                                             |          3 |        934 |          0 |         27 |        961 |
| src\views\NotAuth                                                                                  |          1 |         11 |          0 |          3 |         14 |
| src\views\NotFound                                                                                 |          1 |         11 |          0 |          3 |         14 |
| src\views\NotServer                                                                                |          1 |         11 |          0 |          3 |         14 |
| src\views\OverallPortrait                                                                          |          2 |        285 |          0 |         18 |        303 |
| src\views\OverallPortrait (Files)                                                                  |          1 |        119 |          0 |          6 |        125 |
| src\views\OverallPortrait\components                                                               |          1 |        166 |          0 |         12 |        178 |
| src\views\Performance                                                                              |          3 |        701 |          1 |         43 |        745 |
| src\views\Performance (Files)                                                                      |          1 |         33 |          1 |          3 |         37 |
| src\views\Performance\components                                                                   |          2 |        668 |          0 |         40 |        708 |
| src\views\PositionPortrait                                                                         |          1 |        161 |          0 |          7 |        168 |
| src\views\Register                                                                                 |          1 |        160 |          0 |         15 |        175 |
| src\views\TagManage                                                                                |          1 |        204 |          0 |         15 |        219 |
| types                                                                                              |          4 |        315 |         14 |         10 |        339 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                           | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| e:\hc\外包\employee-Profiling\.env                                                                   | Properties         |         -5 |          0 |          0 |         -5 |
| e:\hc\外包\employee-Profiling\.eslintrc.yml                                                          | YAML               |        -30 |          0 |         -1 |        -31 |
| e:\hc\外包\employee-Profiling\.github\dependabot.yml                                                 | YAML               |         -9 |          0 |         -1 |        -10 |
| e:\hc\外包\employee-Profiling\.prettierrc.yaml                                                       | YAML               |        -17 |          0 |         -1 |        -18 |
| e:\hc\外包\employee-Profiling\README.md                                                              | Markdown           |        -13 |          0 |         -8 |        -21 |
| e:\hc\外包\employee-Profiling\commitlint.config.cjs                                                  | JavaScript         |         -6 |         -4 |         -1 |        -11 |
| e:\hc\外包\employee-Profiling\index.html                                                             | HTML               |        -13 |          0 |         -1 |        -14 |
| e:\hc\外包\employee-Profiling\package.json                                                           | JSON               |        -82 |          0 |         -1 |        -83 |
| e:\hc\外包\employee-Profiling\pnpm-lock.yaml                                                         | YAML               |     -5,633 |          0 |       -868 |     -6,501 |
| e:\hc\外包\employee-Profiling\public\logo.svg                                                        | XML                |     -2,214 |          0 |         -1 |     -2,215 |
| e:\hc\外包\employee-Profiling\src\App.vue                                                            | Vue                |        -23 |          0 |         -4 |        -27 |
| e:\hc\外包\employee-Profiling\src\api\api.ts                                                         | TypeScript         |       -187 |        -82 |         -9 |       -278 |
| e:\hc\外包\employee-Profiling\src\api\type.ts                                                        | TypeScript         |       -197 |          0 |        -14 |       -211 |
| e:\hc\外包\employee-Profiling\src\assets\svg\noResultTwo.svg                                         | XML                |         -1 |          0 |          0 |         -1 |
| e:\hc\外包\employee-Profiling\src\assets\svg\noResultYet.svg                                         | XML                |         -1 |          0 |          0 |         -1 |
| e:\hc\外包\employee-Profiling\src\components\employeeTagCard\employeeTagCard.vue                     | Vue                |        -38 |          0 |         -3 |        -41 |
| e:\hc\外包\employee-Profiling\src\components\loading\loading.vue                                     | Vue                |        -69 |          0 |         -4 |        -73 |
| e:\hc\外包\employee-Profiling\src\components\noResultYet\noResultYet.vue                             | Vue                |        -32 |          0 |         -3 |        -35 |
| e:\hc\外包\employee-Profiling\src\components\svgIcon\svgIcon.vue                                     | Vue                |        -35 |          0 |         -3 |        -38 |
| e:\hc\外包\employee-Profiling\src\components\userInfos\userInfos.vue                                 | Vue                |       -168 |        -29 |        -13 |       -210 |
| e:\hc\外包\employee-Profiling\src\declare\myenv.d.ts                                                 | TypeScript         |         -9 |          0 |         -2 |        -11 |
| e:\hc\外包\employee-Profiling\src\layouts\Home.vue                                                   | Vue                |        -39 |         -1 |         -3 |        -43 |
| e:\hc\外包\employee-Profiling\src\layouts\components\HomeAside.vue                                   | Vue                |       -144 |         -6 |        -13 |       -163 |
| e:\hc\外包\employee-Profiling\src\layouts\components\HomeHeader.vue                                  | Vue                |        -94 |          0 |         -5 |        -99 |
| e:\hc\外包\employee-Profiling\src\layouts\components\HomeMain.vue                                    | Vue                |         -7 |          0 |         -3 |        -10 |
| e:\hc\外包\employee-Profiling\src\main.ts                                                            | TypeScript         |        -25 |          0 |         -8 |        -33 |
| e:\hc\外包\employee-Profiling\src\router\index.ts                                                    | TypeScript         |       -407 |        -13 |        -13 |       -433 |
| e:\hc\外包\employee-Profiling\src\stores\approval.ts                                                 | TypeScript         |        -57 |        -22 |         -9 |        -88 |
| e:\hc\外包\employee-Profiling\src\stores\chart.ts                                                    | TypeScript         |        -54 |         -2 |         -7 |        -63 |
| e:\hc\外包\employee-Profiling\src\stores\employee.ts                                                 | TypeScript         |       -471 |         -4 |        -25 |       -500 |
| e:\hc\外包\employee-Profiling\src\stores\loading.ts                                                  | TypeScript         |         -9 |         -1 |         -5 |        -15 |
| e:\hc\外包\employee-Profiling\src\stores\matching.ts                                                 | TypeScript         |        -66 |         -4 |        -10 |        -80 |
| e:\hc\外包\employee-Profiling\src\stores\model.ts                                                    | TypeScript         |       -372 |        -31 |        -10 |       -413 |
| e:\hc\外包\employee-Profiling\src\stores\performance.ts                                              | TypeScript         |        -40 |        -10 |         -7 |        -57 |
| e:\hc\外包\employee-Profiling\src\stores\post.ts                                                     | TypeScript         |        -50 |          0 |         -7 |        -57 |
| e:\hc\外包\employee-Profiling\src\stores\tag.ts                                                      | TypeScript         |        -17 |          0 |         -5 |        -22 |
| e:\hc\外包\employee-Profiling\src\stores\users.ts                                                    | TypeScript         |        -47 |          0 |         -9 |        -56 |
| e:\hc\外包\employee-Profiling\src\styles\common.scss                                                 | SCSS               |        -30 |         -1 |         -5 |        -36 |
| e:\hc\外包\employee-Profiling\src\styles\iconfont.scss                                               | SCSS               |        -47 |          0 |        -14 |        -61 |
| e:\hc\外包\employee-Profiling\src\styles\reset.scss                                                  | SCSS               |       -201 |        -11 |        -38 |       -250 |
| e:\hc\外包\employee-Profiling\src\util\http.ts                                                       | TypeScript         |        -88 |         -2 |         -8 |        -98 |
| e:\hc\外包\employee-Profiling\src\util\iconfont.js                                                   | JavaScript         |         -1 |          0 |          0 |         -1 |
| e:\hc\外包\employee-Profiling\src\views\AccountManage\AccountManage.vue                              | Vue                |       -193 |          0 |        -20 |       -213 |
| e:\hc\外包\employee-Profiling\src\views\Charts\Charts.vue                                            | Vue                |        -77 |          0 |         -4 |        -81 |
| e:\hc\外包\employee-Profiling\src\views\Charts\components\PostChart.vue                              | Vue                |       -156 |          0 |        -12 |       -168 |
| e:\hc\外包\employee-Profiling\src\views\Charts\components\SmallChart.vue                             | Vue                |        -83 |          0 |         -5 |        -88 |
| e:\hc\外包\employee-Profiling\src\views\Charts\components\TagChart.vue                               | Vue                |       -129 |          0 |        -13 |       -142 |
| e:\hc\外包\employee-Profiling\src\views\EmployeePortrait\EmployeePortrait.vue                        | Vue                |       -190 |          0 |        -13 |       -203 |
| e:\hc\外包\employee-Profiling\src\views\EmployeePortrait\components\EmployeeInfo.vue                 | Vue                |       -374 |          0 |        -12 |       -386 |
| e:\hc\外包\employee-Profiling\src\views\ExamineApprove\ExamineApprove.vue                            | Vue                |       -104 |          0 |         -8 |       -112 |
| e:\hc\外包\employee-Profiling\src\views\Information\Information.vue                                  | Vue                |        -33 |         -1 |         -3 |        -37 |
| e:\hc\外包\employee-Profiling\src\views\Information\components\InforFunction.vue                     | Vue                |     -1,339 |         -1 |        -39 |     -1,379 |
| e:\hc\外包\employee-Profiling\src\views\Information\components\InforTable.vue                        | Vue                |        -64 |          0 |         -8 |        -72 |
| e:\hc\外包\employee-Profiling\src\views\Login\Login.vue                                              | Vue                |       -211 |         -1 |        -24 |       -236 |
| e:\hc\外包\employee-Profiling\src\views\Matching\Matching.vue                                        | Vue                |        -78 |         -1 |         -6 |        -85 |
| e:\hc\外包\employee-Profiling\src\views\Matching\components\MatchingAnalyze.vue                      | Vue                |       -423 |          0 |        -23 |       -446 |
| e:\hc\外包\employee-Profiling\src\views\Matching\components\MatchingPost.vue                         | Vue                |       -257 |          0 |        -17 |       -274 |
| e:\hc\外包\employee-Profiling\src\views\ModelModification\ModelModification.vue                      | Vue                |       -196 |          0 |         -6 |       -202 |
| e:\hc\外包\employee-Profiling\src\views\ModelModification\components\CreatedDialog.vue               | Vue                |       -421 |         -1 |        -10 |       -432 |
| e:\hc\外包\employee-Profiling\src\views\ModelModification\components\DeleteDialog.vue                | Vue                |        -68 |          0 |         -7 |        -75 |
| e:\hc\外包\employee-Profiling\src\views\ModelModification\components\EditDialog.vue                  | Vue                |       -462 |         -1 |        -12 |       -475 |
| e:\hc\外包\employee-Profiling\src\views\NotAuth\NotAuth.vue                                          | Vue                |        -11 |          0 |         -3 |        -14 |
| e:\hc\外包\employee-Profiling\src\views\NotFound\NotFound.vue                                        | Vue                |        -11 |          0 |         -3 |        -14 |
| e:\hc\外包\employee-Profiling\src\views\NotServer\NotServer.vue                                      | Vue                |        -11 |          0 |         -3 |        -14 |
| e:\hc\外包\employee-Profiling\src\views\OverallPortrait\OverallPortrait.vue                          | Vue                |       -120 |          0 |         -6 |       -126 |
| e:\hc\外包\employee-Profiling\src\views\OverallPortrait\components\OverallSelect.vue                 | Vue                |       -177 |          0 |        -11 |       -188 |
| e:\hc\外包\employee-Profiling\src\views\Performance\Performance.vue                                  | Vue                |        -33 |         -1 |         -3 |        -37 |
| e:\hc\外包\employee-Profiling\src\views\Performance\components\PerforFunction.vue                    | Vue                |       -558 |          0 |        -30 |       -588 |
| e:\hc\外包\employee-Profiling\src\views\Performance\components\PerforTable.vue                       | Vue                |        -84 |          0 |         -8 |        -92 |
| e:\hc\外包\employee-Profiling\src\views\PositionPortrait\PositionPortrait.vue                        | Vue                |       -157 |          0 |         -8 |       -165 |
| e:\hc\外包\employee-Profiling\src\views\Register\Register.vue                                        | Vue                |       -175 |         -1 |        -15 |       -191 |
| e:\hc\外包\employee-Profiling\src\views\TagManage\TagManage.vue                                      | Vue                |       -208 |          0 |        -15 |       -223 |
| e:\hc\外包\employee-Profiling\src\vite-env.d.ts                                                      | TypeScript         |         -9 |         -1 |         -3 |        -13 |
| e:\hc\外包\employee-Profiling\tsconfig.json                                                          | JSON with Comments |        -25 |         -7 |         -4 |        -36 |
| e:\hc\外包\employee-Profiling\tsconfig.node.json                                                     | JSON               |        -10 |          0 |         -1 |        -11 |
| e:\hc\外包\employee-Profiling\vite.config.ts                                                         | TypeScript         |        -48 |         -8 |         -4 |        -60 |
| e:\vscode-workspace\me\employee-profiling\.env                                                     | Properties         |          5 |          0 |          1 |          6 |
| e:\vscode-workspace\me\employee-profiling\.eslintrc-auto-import.json                               | JSON               |        103 |          0 |          1 |        104 |
| e:\vscode-workspace\me\employee-profiling\.eslintrc.yml                                            | YAML               |         31 |          0 |          1 |         32 |
| e:\vscode-workspace\me\employee-profiling\.github\FUNDING.yml                                      | YAML               |          2 |          0 |          1 |          3 |
| e:\vscode-workspace\me\employee-profiling\.github\dependabot.yml                                   | YAML               |          9 |          0 |          1 |         10 |
| e:\vscode-workspace\me\employee-profiling\.github\workflow\test.yml                                | YAML               |         33 |          0 |         12 |         45 |
| e:\vscode-workspace\me\employee-profiling\.prettierrc.yaml                                         | YAML               |         17 |          0 |          1 |         18 |
| e:\vscode-workspace\me\employee-profiling\README.md                                                | Markdown           |         13 |          0 |          8 |         21 |
| e:\vscode-workspace\me\employee-profiling\commitlint.config.cjs                                    | JavaScript         |          6 |          4 |          1 |         11 |
| e:\vscode-workspace\me\employee-profiling\index.html                                               | HTML               |         13 |          0 |          1 |         14 |
| e:\vscode-workspace\me\employee-profiling\package.json                                             | JSON               |         78 |          0 |          1 |         79 |
| e:\vscode-workspace\me\employee-profiling\pnpm-lock.yaml                                           | YAML               |      6,556 |          0 |        982 |      7,538 |
| e:\vscode-workspace\me\employee-profiling\public\logo.svg                                          | XML                |      2,214 |          0 |          1 |      2,215 |
| e:\vscode-workspace\me\employee-profiling\src\App.vue                                              | Vue                |         23 |          0 |          4 |         27 |
| e:\vscode-workspace\me\employee-profiling\src\api\api.ts                                           | TypeScript         |        196 |         85 |          9 |        290 |
| e:\vscode-workspace\me\employee-profiling\src\api\type.ts                                          | TypeScript         |        197 |          0 |         14 |        211 |
| e:\vscode-workspace\me\employee-profiling\src\assets\svg\NoResultYet.svg                           | XML                |          1 |          0 |          0 |          1 |
| e:\vscode-workspace\me\employee-profiling\src\assets\svg\noResultTwo.svg                           | XML                |          1 |          0 |          0 |          1 |
| e:\vscode-workspace\me\employee-profiling\src\components\employeeTagCard\employeeTagCard.vue       | Vue                |         38 |          0 |          3 |         41 |
| e:\vscode-workspace\me\employee-profiling\src\components\loading\loading.vue                       | Vue                |         69 |          0 |          4 |         73 |
| e:\vscode-workspace\me\employee-profiling\src\components\noResultYet\noResultYet.vue               | Vue                |         32 |          0 |          3 |         35 |
| e:\vscode-workspace\me\employee-profiling\src\components\svgIcon\svgIcon.vue                       | Vue                |         35 |          0 |          3 |         38 |
| e:\vscode-workspace\me\employee-profiling\src\components\userInfos\userInfos.vue                   | Vue                |        164 |         29 |         12 |        205 |
| e:\vscode-workspace\me\employee-profiling\src\composables\useCheckForm.ts                          | TypeScript         |          9 |          0 |          1 |         10 |
| e:\vscode-workspace\me\employee-profiling\src\composables\useEventListen.ts                        | TypeScript         |         13 |          3 |          1 |         17 |
| e:\vscode-workspace\me\employee-profiling\src\composables\useRefreshImage.ts                       | TypeScript         |         10 |          2 |          2 |         14 |
| e:\vscode-workspace\me\employee-profiling\src\composables\useRetForm.ts                            | TypeScript         |          5 |          1 |          2 |          8 |
| e:\vscode-workspace\me\employee-profiling\src\layouts\Home.vue                                     | Vue                |         39 |          1 |          3 |         43 |
| e:\vscode-workspace\me\employee-profiling\src\layouts\components\HomeAside.vue                     | Vue                |        144 |          6 |         13 |        163 |
| e:\vscode-workspace\me\employee-profiling\src\layouts\components\HomeHeader.vue                    | Vue                |         94 |          0 |          5 |         99 |
| e:\vscode-workspace\me\employee-profiling\src\layouts\components\HomeMain.vue                      | Vue                |          7 |          0 |          3 |         10 |
| e:\vscode-workspace\me\employee-profiling\src\main.ts                                              | TypeScript         |         24 |          0 |          8 |         32 |
| e:\vscode-workspace\me\employee-profiling\src\router\index.ts                                      | TypeScript         |        401 |         12 |         13 |        426 |
| e:\vscode-workspace\me\employee-profiling\src\stores\Matching.ts                                   | TypeScript         |         69 |          4 |         10 |         83 |
| e:\vscode-workspace\me\employee-profiling\src\stores\approval.ts                                   | TypeScript         |         60 |         22 |          9 |         91 |
| e:\vscode-workspace\me\employee-profiling\src\stores\chart.ts                                      | TypeScript         |         54 |          2 |          7 |         63 |
| e:\vscode-workspace\me\employee-profiling\src\stores\employee.ts                                   | TypeScript         |        482 |          4 |         27 |        513 |
| e:\vscode-workspace\me\employee-profiling\src\stores\loading.ts                                    | TypeScript         |          9 |          1 |          5 |         15 |
| e:\vscode-workspace\me\employee-profiling\src\stores\model.ts                                      | TypeScript         |        372 |         31 |         10 |        413 |
| e:\vscode-workspace\me\employee-profiling\src\stores\performance.ts                                | TypeScript         |         42 |         10 |          8 |         60 |
| e:\vscode-workspace\me\employee-profiling\src\stores\post.ts                                       | TypeScript         |         50 |          0 |          8 |         58 |
| e:\vscode-workspace\me\employee-profiling\src\stores\tag.ts                                        | TypeScript         |         16 |          0 |          5 |         21 |
| e:\vscode-workspace\me\employee-profiling\src\stores\users.ts                                      | TypeScript         |         53 |          0 |          9 |         62 |
| e:\vscode-workspace\me\employee-profiling\src\styles\common.scss                                   | SCSS               |         30 |          1 |          5 |         36 |
| e:\vscode-workspace\me\employee-profiling\src\styles\iconfont.scss                                 | SCSS               |         47 |          0 |         14 |         61 |
| e:\vscode-workspace\me\employee-profiling\src\styles\reset.scss                                    | SCSS               |        201 |         11 |         38 |        250 |
| e:\vscode-workspace\me\employee-profiling\src\utils\http.ts                                        | TypeScript         |         88 |          2 |          8 |         98 |
| e:\vscode-workspace\me\employee-profiling\src\utils\iconfont.js                                    | JavaScript         |          1 |          0 |          0 |          1 |
| e:\vscode-workspace\me\employee-profiling\src\views\AccountManage\AccountManage.vue                | Vue                |        194 |          0 |         21 |        215 |
| e:\vscode-workspace\me\employee-profiling\src\views\Charts\Charts.vue                              | Vue                |         74 |          0 |          5 |         79 |
